X,Y,OBJECTID,Fuel_Type_Code,Station_Name,Street_Address,Intersection_Directions,City,State,ZIP,Plus4,Station_Phone,Status_Code,Expected_Date,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,BD_Blends,NG_Fill_Type_Code,NG_PSI,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,EV_Network,EV_Network_Web,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,ID,Updated_At,Owner_Type_Code,Federal_Agency_ID,Federal_Agency_Name,Open_Date,Hydrogen_Status_Link,NG_Vehicle_Class,LPG_Primary,E85_Blender_Pump,EV_Connector_Types
-71.054772489110292,42.355398372625601,1,ELEC,50 POST OFFICE,50 Post Office Square,"STATION #3; The station is on the first level of the parking garage
STATION #2; The station is on the first level of the parking garage
STATION #1; The station is on the first level of the parking garage",Boston,MA,2109,,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,42.3553897,-71.0547719,2016-02-04T00:00:00.000Z,71169,2016-02-04 09:40:13 UTC,,,,,,,,,J1772
-71.074717994643606,42.337885768660072,2,ELEC,TRANSCOMM,2 E Concord St,"710 D; 1st level of garage, east side
710 C; 1st level of garage, east side
710 A; 1st level of garage, east side
710 B; 1st level of garage, east side",Boston,MA,2118,,888-758-4389,E,,Public,24 hours daily,,,,,2,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,42.3378771,-71.0747174,2016-02-04T00:00:00.000Z,65021,2016-02-04 08:48:05 UTC,,,,,,,,,NEMA520 J1772
-71.010123476378496,42.388742180383936,3,ELEC,CHARGE STATION,100 Boardman St.,"HILTON3; East side of hotel
HILTON2; East side of hotel
EV CHARGER 1; East side of hotel",Boston,MA,2128,,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,42.3887335,-71.0101229,2016-02-04T00:00:00.000Z,71603,2016-02-04 09:38:12 UTC,,,,,,,,,J1772
-71.101413603772457,42.344169669001715,4,ELEC,TRILOGY,180 Brookline Ave,"FEN RES; Welcome",Boston,MA,2215,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.344161,-71.101413,2016-02-04T00:00:00.000Z,61643,2016-02-04 09:26:32 UTC,,,,,,,,,J1772
-71.08259709777559,42.347279970194329,5,ELEC,PRUDENTIAL CTR,I-90,"P1-RED LEVEL A; South Garage P1 Red Level",Boston,MA,2199,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.3472713,-71.0825965,2016-02-04T00:00:00.000Z,66612,2016-02-04 08:55:27 UTC,,,,,,,,,J1772
-71.053417088507899,42.3526850721532,6,ELEC,FEDERAL RESERVE,600 Atlantic Ave,"600 ATLANTIC #1; Station located on parking level B-2",Boston,MA,2210,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.3526764,-71.0534165,2016-02-04T00:00:00.000Z,68230,2016-02-04 09:36:32 UTC,,,,,,,,,J1772
-71.055775589754802,42.36083197362619,7,ELEC,Millennium Bostonian Hotel - Tesla,25 North St,,Boston,MA,2109,,617-523-3600  877-798-3752,E,,Public,"24 hours daily; for Tesla use only; see valet for access",,,,,,1,,,Tesla,http://www.teslamotors.com/supercharger,200-8,42.3608233,-71.055775,2016-01-07T00:00:00.000Z,72138,2016-01-13 18:01:11 UTC,P,,,2015-11-01T00:00:00.000Z,,,,,TESLA
-71.110515705419246,42.321077764320101,8,ELEC,Whole Foods Market,415 Centre St,,Jamaica Plain,MA,2130,,855-443-3873,E,,Public,Market business hours,,,,,,1,,,,,GPS,42.3210691,-71.1105151,2015-03-04T00:00:00.000Z,46860,2016-01-13 17:53:35 UTC,P,,,2011-10-10T00:00:00.000Z,,,,,J1772
-71.061615691693717,42.361193473508536,9,ELEC,CITY OF BOSTON,75-91 Cambridge St,"CAMBRIDGE ST #1; Curbside on Cambridge St. Westbound at corner of Sudbury St. ",Boston,MA,2114,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.3611848,-71.0616151,2016-02-04T00:00:00.000Z,68868,2016-02-04 09:38:31 UTC,,,,,,,,,J1772
-71.134349914799884,42.347865868650352,10,ELEC,ECO,75 Brainerd Rd,"75 BRAINERD #2; In space #33",Allston,MA,2134,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.3478572,-71.1343493,2016-02-04T00:00:00.000Z,65494,2016-02-04 09:29:34 UTC,,,,,,,,,J1772
