X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE
-71.065731592282745,42.348053670879892,2001,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,TREM,SHAWMUT AV,1,,-71.065731,42.348045,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065745592283662,42.34798967086725,2002,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,TREM,SHAWMUT AV,1,,-71.065745,42.347981,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.06564559224185,42.347832670840582,2003,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065645,42.347824,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,302,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065632592240917,42.347890670852053,2004,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065632,42.347882,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065618592239716,42.347948670863524,2005,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065618,42.34794,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065605592238725,42.348005670874791,2006,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065605,42.347997,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.06559259223782,42.348063670886177,2007,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065592,42.348055,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065579592236801,42.348121670897648,2008,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065579,42.348113,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065565592235629,42.348179670909126,2009,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065565,42.348171,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
-71.065552592234667,42.348237670920589,2010,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,MARG,SHAWMUT AV,1,,-71.065552,42.348229,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
