X,Y,FID,OBJECTID,Neighborho,Park_Name,Address_Te,Matched,MatchScore,MatchText,MatchType,MatchId,MatchXCoor,MatchYCoor,Match_Code
-71.165966428925856,42.351591059585289,1,1,Allston/Brighton,Hardiman Park,380 Faneuil Street,TRUE,10,"380  Faneuil St, Brighton, MA 02135",Address,342467,746458.868,2953325.543,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.161191111990348,42.35545614692532,2,2,Allston/Brighton,Hobart Park,85 Hobart Street,TRUE,10,"85 Hobart St, Brighton, MA 02135",Address,342478,747744.0763,2954739.153,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.125661030823252,42.359545185278108,3,3,Allston/Brighton,Hooker/Sorento Playground,120 Hooker Street,TRUE,10,"120 Hooker St, Allston, MA 02134",Address,341995,757340.9826,2956269.43,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.136708268015354,42.350487794150226,4,5,Allston/Brighton,Ringer Playground,85 Allston Street,TRUE,10,"85 Allston St, Allston, MA 02134",Address,342014,754369.2717,2952955.819,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.063826683266115,42.355426829562731,5,6,Back Bay/Beacon Hill,Boston Common Tot Lot,139 Tremont Street,TRUE,10,"139 Tremont St, Boston, MA 02108",Address,341542,774060.7756,2954848.024,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.066339999793584,42.357160000482551,6,7,Back Bay/Beacon Hill,Boston Common Frog Pond,40 Beacon Street,TRUE,10,"40 Beacon St, Boston, MA 02108",Address,11357,773378.2413,2955476.161,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.052182987608631,42.360995225628237,7,8,Central Boston,Christopher Columbus Park,110 Atlantic Avenue,TRUE,10,"110 Atlantic Ave, Boston, MA 02110",Address,161702,777197.2897,2956893.563,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.053918597035491,42.368277473872439,8,9,Central Boston,Puopolo Playground,517 Commercial Street,TRUE,10,"517 Commercial St, Boston, MA 02109",Address,341654,776714.3352,2959544.9,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.065959999870572,42.383159999772197,9,10,Charlestown,Doherty Playground,446 Medford Street,TRUE,5,"445R Medford St, Charlestown, MA 02129",Address,93769,773432.7335,2964951.616,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_OPPOSITE_SIDE, XY_IMPROVEMENT"
-71.064978381029562,42.373971145117878,10,11,Charlestown,Rutherford Union Playground,127 Old Rutherford Avenue,TRUE,5,"119-123 Rutherford Ave, Charlestown, MA 02129",Address,169366,773715.017,2961604.354,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_WITHIN_RANGE, ADDRESS_SAME_SIDE, XY_IMPROVEMENT"
-71.03674100091132,42.368249999092534,11,12,Dorchester,Byrne Playground,23 Everett Street,TRUE,10,"23 Everett St, East Boston, MA 02128",Address,55112,781356.3658,2959559.632,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.068760925265934,42.311075372568332,12,13,Dorchester,Quincy/Stanley Playground,21 Stanley Street,TRUE,10,"21 Stanley St, Dorchester, MA 02125",Address,344013,772808.8161,2938678.792,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.06735999957516,42.290489999760325,13,14,Dorchester,Rev. Loesch Park,21 Wainwright Street,TRUE,10,"21 Wainwright St, Dorchester, MA 02124",Address,141302,773225.7874,2931179.091,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.07618358467623,42.299483986638535,14,15,Dorchester,Ripley Playground,25 Ripley Road,TRUE,10,"25 Ripley Rd, Dorchester, MA 02121",Address,341620,770822.1302,2934444.647,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.072719999333984,42.286739999406791,15,16,Dorchester,Roberts Park,23 Dunbar Ave,TRUE,5,"25 Dunbar Ave, Dorchester, MA 02124",Address,49880,771782.3936,2929805.227,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_SAME_SIDE, XY_IMPROVEMENT"
-71.060834965356833,42.304430027999679,16,17,Dorchester,Ronan Park,135 Adams Street,TRUE,5,"136 Adams St, Dorchester, MA 02122",Address,161308,774965.0908,2936268.064,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_OPPOSITE_SIDE, XY_IMPROVEMENT"
-71.056224724573951,42.317736578184352,17,18,Dorchester,Ryan Playground,960 Dorchester Avenue,TRUE,10,"960 Dorchester Ave, Dorchester, MA 02125",Address,342630,776186.9655,2941123.633,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.034280580496457,42.372394151652919,18,19,East Boston,East Boston Memorial Park,143 Porter Street,TRUE,10,"143 Porter St, East Boston, MA 02128",Address,344495,782013.0096,2961073.464,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.032564731573572,42.365501657341824,19,21,East Boston,Sumner/Lamson Street Playground,425 Sumner Street,TRUE,10,"425 Sumner St, East Boston, MA 02128",Address,155790,782490.4254,2958564.24,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.127490000279749,42.264820000024216,20,22,Hyde Park,McGann Playground ,270 West Street ,TRUE,5,"265-267 West St, Hyde Park, MA 02136",Address,147933,756997.4184,2921747.782,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_WITHIN_RANGE, ADDRESS_OPPOSITE_SIDE, XY_IMPROVEMENT"
-71.099103386793971,42.274085275150171,21,26,Mattapan,Ernest Chery Jr. Playground,64 Orlando Street,TRUE,5,"74 Orlando St, Mattapan, MA 02126",Address,342359,764665.1634,2925159.008,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_SAME_SIDE, XY_IMPROVEMENT"
-71.084606225042407,42.292258827626618,22,27,Mattapan,Harambee Park (Franklin Field),930 Blue Hill Avenue,TRUE,10,"930 Blue Hill Ave, Dorchester, MA 02124",Address,162200,768556.3861,2931800.481,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.077784879379422,42.283191762763558,23,28,Mattapan,Thetford/Evans Park,15 Evans Street,TRUE,10,"15 Evans St, Dorchester, MA 02124",Address,344492,770418.3229,2928505.375,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.089866784174959,42.277595071218791,24,29,Mattapan,Walker Playground,550 Norfolk Street,TRUE,10,"550 Norfolk St, Mattapan, MA 02126",Address,342029,767158.7847,2926449.91,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.078009680362598,42.310542976121482,25,31,Roxbury,Children's Playground,86 Intervale Street,TRUE,5,"81-87 Intervale St, Dorchester, MA 02121",Address,342024,770308.1805,2938472.266,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_WITHIN_RANGE, ADDRESS_OPPOSITE_SIDE, XY_IMPROVEMENT"
-71.074842848578498,42.32236765009533,26,32,Roxbury,Dennis Street Park,138 Moreland Street,TRUE,10,"138 Moreland St, Roxbury, MA 02119",Address,342061,771143.2709,2942785.625,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.075853317751324,42.326345158335883,27,33,Roxbury,Dudley Town Common,371 Dudley Street,TRUE,5,"367-369 Dudley St, Roxbury, MA 02119",Address,164559,770862.8011,2944233.736,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_WITHIN_RANGE, ADDRESS_SAME_SIDE, XY_IMPROVEMENT"
-71.097240000102929,42.312289999512949,28,34,Roxbury,"El Parquesito Dela Hermandad, Franklin Park",439 Walnut Avenue,TRUE,10,"439 Walnut Ave, Jamaica Plain, MA 02130",Address,141956,765103.7252,2939083.763,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.082612798074351,42.315336099542527,29,35,Roxbury,Holborn Street Playground,6 Holborn Street,TRUE,10,"6 Holborn St, Dorchester, MA 02121",Address,341994,769054.5748,2940212.832,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.079279999297299,42.324610001564245,30,36,Roxbury,Gertrude Howe Playground,33 Fairland Street,TRUE,10,"33 Fairland St, Roxbury, MA 02119",Address,55640,769939.2972,2943596.826,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.092771234637496,42.330268094546994,31,37,Roxbury,Jeep Jones Park,237 Roxbury Street,TRUE,5,"239 Roxbury St, Roxbury, MA 02119",Address,342499,766281.1323,2945641.028,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_SAME_SIDE, XY_IMPROVEMENT"
-71.090668881262957,42.327238916968881,32,38,Roxbury,Lambert Avenue Playground,45 Lambert Avenue,TRUE,10,"45 Lambert Ave, Roxbury, MA 02119",Address,342504,766854.901,2944539.863,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.122660000624492,42.271299999508727,34,40,Roxbury,Malcolm X Park,131 Dale Street,TRUE,5,"132 Dale St, Roslindale, MA 02131",Address,45671,758294.3443,2924114.93,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_OPPOSITE_SIDE, XY_IMPROVEMENT"
-71.096224571871645,42.322805509326955,35,41,Roxbury,Marcella/Connolly Park,260 Highland Street,TRUE,10,"260 Highland St, Roxbury, MA 02119",Address,73748,765360.2322,2942917.091,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.093730201817976,42.314182539804229,36,42,Roxbury,Father Roussin Park,350 Walnut Avenue,TRUE,10,"348-352 Walnut Ave, Dorchester, MA 02121",Address,170902,766049.7506,2939777.938,"STREET_EXACT, ADDRESS_STRICT, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_WITHIN_RANGE, ADDRESS_SAME_SIDE, XY_IMPROVEMENT"
-71.079185605635772,42.327041868481054,37,43,Roxbury,Mt. Pleasant Play Area,30 Mt Pleasant Avenue,TRUE,10,"30 Mount Pleasant Ave, Roxbury, MA 02119",Address,98401,769960.4512,2944483.166,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.076545633738149,42.329633278606543,38,44,Roxbury,Orchard Park Playground,50 Orchard Park St,TRUE,10,"50 Orchard Park St, Roxbury, MA 02119",Address,342557,770669.6405,2945431.054,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.049121437048441,42.339311679703897,39,45,South Boston,Buckley Playground,210 W 3rd St,TRUE,10,"210 W Third St, South Boston, MA 02127",Address,341625,778066.4913,2948996.037,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.052969999926049,42.325640000783402,40,46,South Boston,Dot Curran Play Area Moakley Park,428 Old Colony Avenue,TRUE,5,"429 Old Colony Ave, South Boston, MA 02127",Address,173980,777052.1125,2944008.366,"STREET_EXACT, ADDRESS_CLOSE, ADDRESS_NEIGHBORHOOD_MATCH, ADDRESS_OPPOSITE_SIDE, XY_IMPROVEMENT"
-71.051552751326753,42.337201763011528,41,47,South Boston,Sweeney Playground,180 West Fifth Street,TRUE,10,"180 W Fifth St, South Boston, MA 02127",Address,342659,777413.2081,2948223.681,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.075324584881457,42.340731045178558,42,49,South End,O'Day Playground,75 West Newton Street,TRUE,10,"75 W Newton St, Roxbury, MA 02118",Address,102644,770979.6763,2949476.92,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.070124614143907,42.343225291516191,43,51,South End,Ringgold Park,10 Ringgold Street,TRUE,10,"10 Ringgold St, Roxbury, MA 02118",Address,342013,772380.9202,2950392.911,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.153465386671428,42.29466738038483,44,52,West Roxbury,Hynes Playground,502 VFW Parkway,TRUE,10,"502 VFW Pkwy, West Roxbury, MA 02132",Address,342479,749922.2688,2932594.985,"STREET_EXACT, ADDRESS_EXACT, XY_IMPROVEMENT"
-71.083371419118507,42.300924752800782,45,53,Mattapan,Erie/Ellington Street Playground,184 Erie Street,TRUE,0, , ,0,0,0, 
-71.088591411945274,42.314789102127335,46,54,Roxbury,Trotter Playground,160 Humboldt Avenue, ,0, , ,0,0,0, 
-71.086129187228707,42.316342880877848,47,55,Roxbury,Laviscount Park,81 Humboldt Avenue, ,0, , ,0,0,0, 
-71.076667465569059,42.289457730394474,48,56,Dorchester,Elmhurst Park,35 Elmhurst Street, ,0, , ,0,0,0, 
-71.032405146471916,42.337002838119098,1001,,South Boston,Medal of Honor Park,851 East Broadway,,,,,,,,
-71.122524792661096,42.288014483321803,1002,,Roslindale,Healy Playground,160 Florence Street,,,,,,,,
