X,Y,OBJECTID,Count_,Int_Number,Location,Dist
-71.075102062355953,42.308188275308936,1,386,3121,Columbia Rd. & Wyola Place,DO
-71.075238047512897,42.345855733633165,2,388,319,Columbus Ave. & Dartmouth St.,BP
-71.098279726547347,42.319568778357784,3,389,507,Columbus Ave. & Dimock St.,RX
-71.081808208880915,42.340578905624156,4,390,95,Columbus Ave. & Massachusetts Ave.,BP
-71.08774027584208,42.336402574798896,5,391,2085,Columbus Ave. & Melnea Cass Blvd.,RX
-71.07649537275212,42.344846412199985,6,393,577,Columbus Ave. & West Canton St.,BP
-71.078526195163377,42.343202750956891,7,394,320,Columbus Ave. & West Newton St.,BP
-71.05331196191095,42.361201326738524,8,400,290,Commercial St. & Cross St.,BP
-71.054022881838733,42.36775559949541,9,401,328,Commercial St. & Foster St.,BP
-71.052520054984555,42.367196821850534,10,402,424,Commercial St. & Hanover St.,BP
-71.105059652498127,42.349739952406921,11,403,1283,Commonwealth Ave. & Cummington St.,BP
-71.128089888375655,42.35068821287539,12,404,845,Commonwealth Ave. & Fordham St.,AB
-71.10361782857467,42.349774100001149,13,405,457,Commonwealth Ave. & Granby St.,BP
-71.134071569835299,42.348638822941297,14,406,459,Commonwealth Ave. & Griggs St.,AB
-71.13087253285309,42.350153042525896,15,407,181,Commonwealth Ave. & Harvard Ave.,AB
-71.094977798516922,42.348811682043795,16,408,3087,Commonwealth Ave. & Kenmore St.,BP
-71.148691708199451,42.341821466742594,17,409,1190,Commonwealth Ave. & Leamington Rd.,AB
-71.088520957213959,42.348897841009709,18,410,90,Commonwealth Ave. & Massachusetts Ave.,BP
-71.157854107662715,42.339738892811511,19,412,1208,Commonwealth Ave. & South St.,AB
-71.132992836854498,42.349622299973603,20,413,880,Commonwealth Ave. & Spofford St.,AB
-71.106570842759851,42.349922127050156,21,414,177,Commonwealth Ave. & St. Mary's St.,BP
-71.14268524035073,42.343641496987878,22,416,180,Commonwealth Ave. & Washington St.,AB
-71.039310521316352,42.382618578588456,23,434,431,Condor St. & Meridian St.,EB
-71.055678565318047,42.355645473931496,24,437,362,Congress St. & Franklin St.,BP
-71.057583517427915,42.36157839025887,25,438,4035,Congress St. & Hanover St.,BP
-71.054643074591795,42.354663197921845,26,439,47,Congress St. & High St.,BP
-71.056309656039858,42.356825126292257,27,440,1520,Congress St. & Milk St.,BP
-71.054127242153996,42.354174798372441,28,441,3055,Congress St. & Purchase St.,BP
-71.056804928048521,42.358877559910098,29,442,52,Congress St. & State St.,BP
-71.135618442275984,42.346255702397919,30,450,641,Corey Rd. & Kelton St.,AB
-71.138267312453536,42.344149059674287,31,451,640,Corey Rd. & Summit Ave.,AB
-71.140429546012498,42.342416769969617,32,452,639,Corey Rd. & Washington St.,AB
-71.135534643824386,42.279564020329971,33,454,632,Cornell St. & Washington St.,WR
-71.055664133143949,42.362638737196193,34,458,4096,Cross St. & Hanover St.,BP
-71.118917027070097,42.279958136034779,35,463,250,Cummins Hwy. & Hyde Park Ave.,WR
-71.125114115715235,42.284486375013977,36,464,2262,Cummins Hwy. & Sycamore St.,WR
-71.128127792896223,42.286465079408721,37,465,252,Cummins Hwy. & Washington St.,WR
-71.098288883194783,42.270270273965188,38,466,1367,Cummins Hwy. & Woodhaven St.,DO
-71.047874389372097,42.341349224155735,39,473,4085,Cypher & D St.,SB
-71.057019459781841,42.333656677516807,40,474,1128,D St. & Dorchester Ave.,SB
-71.042159291155912,42.346224126381273,41,479,374,D St. & Summer St.,SB
-71.050835230370055,42.338825217523564,42,480,373,D St. & West Broadway,SB
-71.048612622099284,42.340720236562028,43,481,1484,D St. & West First St.,SB
-71.053877037251979,42.336263090398788,44,482,540,D St. & West Seventh St.,SB
-71.049929972907151,42.339603061578124,45,483,786,D St. & West Third St.,SB
-71.066224715443852,42.300335681440039,46,486,2355,Dakota St. & Geneva Ave.,DO
-71.078715026822451,42.352872140294167,47,488,750,Dartmouth St. & Marlborough St.,BP
-71.077734797808844,42.350907890807228,48,489,824,Dartmouth St. & Newbury St.,BP
-71.076399516475334,42.348325093319218,49,490,110,Dartmouth St. & Stuart St.,BP
-71.074471102935703,42.344317574624625,50,491,663,Dartmouth St. & Warren Ave.,BP
-71.053144977305578,42.331543811180993,51,523,173,Dorchester St. & Old Colony Ave.,SB
-71.047803386971893,42.334491364349425,52,524,949,Dorchester St. & West Fifth St.,SB
-71.071962261107188,42.337507008740275,53,550,547,East Newton St. & Harrison Ave.,BP
-71.149840197185483,42.337690312705782,54,556,800,Englewood Ave. & Sutherland St.,AB
-71.057162538353566,42.352090734008947,55,563,377,Essex St. & South St.,BP
-71.05617860716093,42.353651761159675,56,580,48,Federal St. & High St.,BP
-71.105656985187125,42.333831506727662,57,583,1944,Fenwood Rd. & Huntington Ave.,RX
-71.102473542325441,42.308891936974071,58,586,1531,Forest Hills St. & Glen Rd.,WR
-71.103749429171373,42.303304924551377,59,587,2047,Forest Hills St. & Williams St.,WR
-71.071260348163079,42.282040257955593,60,603,510,Fuller St. & Washington St.,DO
-71.085106702293089,42.351152193686374,61,611,865,Gloucester St. & Marlborough St.,BP
-71.170983219487312,42.272913626457161,62,612,714,Gould St. & Spring St.  / V.A. Hospital,WR
-71.061517711263875,42.350639330844302,63,626,367,Harrison Ave. & Kneeland St.,BP
-71.067779634927163,42.340838476871042,64,631,689,Harrison Ave. & Waltham St.,BP
-71.083045091359068,42.328007174100563,65,632,784,Harrison Ave. & Warren St.,RX
-71.053212460602879,42.356068795924337,66,642,566,High St. & Oliver St.,BP
-71.054025896345522,42.355256961436687,67,643,1197,High St. & Pearl St.,BP
-71.050889242450452,42.356967874344157,68,644,7004,High St. & Purchase St.,BP
-71.056985190337457,42.353279616012401,69,645,60,High St. & Summer St.,BP
-71.086034731954868,42.319041313471139,70,646,1561,Humboldt Ave. & Martin Luther King Jr. Blvd.,RX
-71.086528506053213,42.317073504896811,71,647,556,Humboldt Ave. & Townsend St.,RX
-71.086024140370625,42.320728586847245,72,648,572,Humboldt Ave. & Walnut Ave.,RX
-71.088325697783532,42.314624660872838,73,649,947,Humboldt Ave. & Waumbeck St.,RX
-71.087348655608537,42.315832683226468,74,650,1723,Humboldt Ave. & Wyoming St.,RX
-71.122176662731988,42.261629796143225,75,668,871,Hyde Park Ave. & West St.,HP
-71.083081939070027,42.327466032869275,76,674,1969,Kearsarge Ave. & Warren St. @ The Boy's Club,RX
-71.091256425016965,42.336044643972791,77,681,1526,Leon St. & Ruggles St.,RX
-71.065709107325517,42.347688182669643,78,695,1328,Marginal Rd. & Shawmut Ave.,BP
-71.088141755092408,42.348119219578749,79,704,91,Massachusetts Ave. & Newbury St.,BP
-71.084120532736918,42.342165790126174,80,706,134,Massachusetts Ave. & St. Botolph St.,BP
-71.125667831960982,42.275916211174447,81,730,517,Metropolitan Ave. & Poplar St.,WR
-71.115688475439157,42.260438575987003,82,731,1104,Metropolitan Ave. & River St.,HP
-71.133535369377086,42.28141674680797,83,732,582,Metropolitan Ave. & Washington St.,WR
-71.055736488246424,42.356913468470566,84,733,327,Milk St. & Pearl St.,BP
-71.058744798284607,42.356995711455355,85,735,23,Milk St. & Washington St.,BP
